id,sensortype,data
1848,Temp,25
1849,Humid,15
1850,Gas,926
1851,Temp,25
1852,Humid,15
1853,Gas,924
1854,Temp,25
1855,Humid,15
1856,Gas,921
1857,Temp,25
1858,Humid,15
1859,Gas,918
1860,Temp,25
1861,Humid,16
1862,Gas,916
1863,Temp,25
1864,Humid,15
1865,Gas,913
1866,Temp,25
1867,Humid,15
1868,Gas,908
1869,Temp,25
1870,Humid,15
1871,Gas,907
1872,Temp,25
1873,Humid,15
1874,Gas,905
1875,Temp,25
1876,Humid,16
1877,Gas,903
1878,Temp,26
1879,Humid,15
1880,Gas,900
1881,Temp,25
1882,Temp,25
1883,Humid,15
1884,Gas,859
1885,Temp,26
1886,Humid,15
1887,Temp,26
1888,Humid,15
1889,Gas,907
1890,Temp,25
1891,Humid,16
1892,Gas,905
1893,Temp,21
1894,Humid,15
1895,Gas,901
1896,Temp,26
1897,Humid,15
1898,Gas,897
1899,Temp,26
1900,Humid,15
1901,Gas,895
1902,Temp,26
1903,Humid,15
1904,Gas,892
1905,Temp,26
1906,Humid,15
1907,Gas,889
1908,Temp,25
1909,Humid,15
1910,Gas,846
1911,Temp,26
1912,Humid,15
1913,Gas,905
1914,Temp,25
1915,Humid,15
1916,Gas,881
1917,Temp,26
1918,Humid,15
1919,Gas,880
1920,Temp,26
1921,Humid,15
1922,Gas,878
1923,Temp,26
1924,Humid,15
1925,Gas,876
1926,Humid,15
1927,Gas,873
1928,Temp,26
1929,Humid,15
1930,Gas,870
1931,Temp,26
1932,Humid,15
1933,Gas,869
1934,Temp,26
1935,Humid,15
1936,Gas,868
1937,Temp,26
1938,Humid,15
1939,Gas,867
1940,Temp,26
1941,Humid,15
1942,Gas,866
1943,Temp,26
1944,Humid,15
1945,Gas,865
1946,Temp,26
1947,Humid,15
1948,Temp,26
1949,Humid,15
1950,Gas,860
1951,Temp,26
1952,Humid,15
1953,Gas,859
1954,Temp,26
1955,Humid,15
1956,Gas,858
1957,Temp,26
1958,Humid,15
1959,Gas,857
1960,Temp,26
1961,Humid,15
1962,Gas,856
1963,Temp,26
1964,Humid,15
1965,Gas,855
1966,Temp,26
1967,Humid,15
1968,Gas,854
1969,Humid,15
1970,Gas,854
1971,Temp,26
1972,Humid,15
1973,Gas,852
1974,Temp,26
1975,Humid,15
1976,Gas,852
1977,Temp,27
1978,Humid,14
1979,Gas,849
1980,Temp,26
1981,Humid,15
1982,Gas,849
1983,Temp,26
1984,Humid,15
1985,Gas,848
1986,Temp,26
1987,Humid,15
1988,Gas,847
1989,Temp,26
1990,Humid,15
1991,Gas,846
1992,Temp,26
1993,Humid,15
1994,Gas,845
1995,Temp,26
1996,Humid,15
1997,Gas,845
1998,Temp,26
1999,Humid,15
2000,Gas,843
2001,Temp,26
2002,Humid,15
2003,Gas,843
2004,Temp,26
2005,Humid,15
2006,Gas,842
2007,Temp,26
2008,Humid,15
2009,Gas,841
2010,Temp,26
2011,Humid,15
2012,Gas,841
2013,Temp,26
2014,Humid,15
2015,Gas,840
2016,Temp,26
2017,Humid,15
2018,Gas,838
2019,Temp,25
2020,Humid,15
2021,Gas,838
2022,Humid,15
2023,Gas,836
2024,Temp,26
2025,Humid,16
2026,Gas,835
2027,Temp,27
2028,Humid,14
2029,Gas,833
2030,Temp,26
2031,Humid,15
2032,Gas,833
2033,Temp,26
2034,Humid,16
2035,Gas,806
2036,Temp,26
2037,Humid,16
2038,Gas,852
2039,Humid,15
2040,Gas,848
2041,Temp,26
2042,Humid,15
2043,Gas,843
2044,Temp,26
2045,Humid,15
2046,Gas,841
2047,Temp,26
2048,Humid,15
2049,Gas,838
2050,Temp,26
2051,Humid,15
2052,Gas,836
2053,Temp,26
2054,Humid,15
2055,Gas,834
2056,Temp,26
2057,Humid,15
2058,Gas,833
2059,Temp,26
2060,Humid,16
